iter	RMSE
154	163.63436
155	163.2694495
156	162.8637015
157	162.5082253
158	162.1773616
159	161.693843
160	161.3467651
161	161.0555409
162	160.4143071
163	160.095993
164	159.7091775
165	159.4691399
166	158.9341873
167	158.7242615
168	158.2912206
169	157.7263171
170	157.3027458
171	156.8268226
172	156.406547
173	156.0283233
174	155.5267717
175	155.3080376
176	154.9200351
177	154.3398132
178	154.021521
179	153.6737998
180	152.8891141
181	152.3998614
182	152.0735508
183	151.7289029
184	151.2682034
185	150.8251012
186	150.3374412
187	149.9815157
188	149.6107543
189	149.174032
190	148.7196275
191	148.3148863
192	147.9364677
193	147.6832459
194	147.2291985
195	146.8740493
196	146.2932476
197	145.870978
198	145.4437569
199	145.0665304
200	144.7311685
201	144.4452963
202	144.0217408
203	143.8431806
204	143.4783197
205	143.1531489
206	142.9103857
207	142.3738822
208	142.0284213
209	141.772929
210	141.5116117
211	141.0396195
212	140.754135
213	140.4340411
214	140.3024454
215	139.7308239
216	139.4367281
217	139.1850454
218	138.7457401
219	138.4586123
220	138.0274181
221	137.6842863
222	137.3884467
223	137.1461963
224	136.8822486
225	136.6776937
226	136.3588095
227	136.0180462
228	135.7340564
229	135.3714618
230	135.0973454
231	134.8150679
232	134.3655532
233	134.1198958
234	133.7921896
235	133.5047348
236	133.1908928
237	132.9055173
238	132.6193582
239	132.295569
240	131.9337479
241	131.6269556
242	131.3324187
243	130.9475832
244	130.6795716
245	130.247233
246	129.9471493
247	129.5740839
248	129.3036366
249	128.9347317
250	128.6634954
251	128.3522031
252	128.1121583
253	127.8114069
254	127.3794542
255	127.0913539
256	126.7262573
257	126.5386319
258	126.3305554
259	125.9901702
260	125.7439592
261	125.6036776
262	125.3699621
263	124.9656392
264	124.7198526
265	124.4299848
266	123.9538948
267	123.6326872
268	123.4130253
269	123.1071723
270	122.9403493
271	122.7260711
272	122.4365604
273	122.1518621
274	121.8383405
275	121.6204134
276	121.3104792
277	121.0704909
278	120.8370094
279	120.6155123
280	120.3045747
281	120.0619651
282	119.882095
283	119.7184792
284	119.5440288
285	119.2549828
286	118.9850274
287	118.8764311
288	118.7013713
289	118.5219116
290	118.2341045
291	118.0770001
292	117.8615693
293	117.6478301
294	117.343797
295	117.0206849
296	116.7923209
297	116.5358306
298	116.3277447
299	116.2053642
300	116.1130847
301	115.8730308
302	115.6249742
303	115.447635
304	115.308129
305	115.1412012
306	114.8713804
307	114.6383959
308	114.4310767
309	114.2640811
310	114.0784687
311	113.8990046
312	113.6176885
313	113.4413628
314	113.1512295
315	112.9959825
316	112.7730386
317	112.5755781
318	112.4200586
319	112.222004
320	112.00978
321	111.7931244
322	111.551073
323	111.3623892
324	111.1584588
325	110.9158503
326	110.75277
327	110.5882854
328	110.4045887
329	110.0826794
330	109.8826974
331	109.5667262
332	109.3858815
333	109.1333448
334	108.8507986
335	108.6491724
336	108.5035212
337	108.2551971
338	108.1113461
339	107.9768925
340	107.795522
341	107.5723699
342	107.4319185
343	107.1547833
344	106.9652066
345	106.8336526
346	106.6403954
347	106.4537338
348	106.3025161
349	106.1720118
350	105.9098688
351	105.8767996
352	105.701951
353	105.5015967
354	105.3359918
355	105.2292426
356	105.0634661
357	104.8430439
358	104.6633786
359	104.4808037
360	104.2863713
361	104.0289903
362	103.8601852
363	103.6376556
364	103.4356655
365	103.3176202
366	103.1291049
367	102.9409863
368	102.8149363
369	102.7037149
370	102.5507462
371	102.3991588
372	102.1851529
373	102.064777
374	101.8290497
375	101.6638549
376	101.4791112
377	101.3508989
378	101.1520158
379	101.1038961
380	100.968199
381	100.782035
382	100.6400724
383	100.4950232
384	100.3924872
385	100.2614303
386	100.1344209
387	99.93501537
388	99.82043876
389	99.66240749
390	99.54188912
391	99.36058426
392	99.21128736
393	99.10552931
394	99.02480984
395	98.91992481
396	98.89790593
397	98.66874684
398	98.51003224
399	98.381043
400	98.15354018
401	97.97815181
402	97.84994919
403	97.7399111
404	97.59349704
405	97.51599549
406	97.35528647
407	97.15562185
408	97.04583689
409	96.87721229
410	96.72776974
411	96.50993123
412	96.39977953
413	96.2706953
414	96.12557675
415	95.94670628
416	95.84301133
417	95.75213554
418	95.62058558
419	95.40708884
420	95.31859691
421	95.22178783
422	95.14218658
423	95.02417978
424	94.91613123
425	94.74233911
426	94.66598768
427	94.53294465
428	94.43774874
429	94.18064203
430	94.05334953
431	93.90743605
432	93.78929457
433	93.63672554
434	93.52520336
435	93.42705301
436	93.21957461
437	93.1274002
438	93.01222926
439	92.90105211
440	92.76669171
441	92.64548305
442	92.54853126
443	92.44256125
444	92.36525097
445	92.23228423
446	92.13993645
447	92.01591912
448	91.97161926
449	91.82878665
450	91.73652199
451	91.60869374
452	91.56440691
453	91.48426056
454	91.34711125
455	91.21487949
456	91.12120037
457	91.02297484
458	90.90196398
459	90.76293845
460	90.66340928
461	90.54765054
462	90.41921737
463	90.32597686
464	90.22824381
465	90.0096233
466	89.89708752
467	89.75103419
468	89.64310701
469	89.54153487
470	89.40593005
471	89.27263684
472	89.13929452
473	89.00444979
474	88.88984984
475	88.77291719
476	88.67148544
477	88.56918012
478	88.46440675
479	88.38149337
480	88.36464874
481	88.22605654
482	88.13336771
483	88.04366248
484	87.94487632
485	87.87696891
486	87.78088294
487	87.7220205
488	87.62447671
489	87.56700252
490	87.44564499
491	87.36747777
492	87.25361357
493	87.21442091
494	87.02484596
495	86.86818811
496	86.81199314
497	86.70873949
498	86.60346786
499	86.42347717
500	86.3524204
501	86.18288482
502	86.11194774
503	85.99147172
504	85.87380016
505	85.77088709
506	85.66661312
507	85.62781757
508	85.54645908
509	85.48173533
510	85.38117829
511	85.23533379
512	85.18033724
513	85.09011237
514	84.95151528
515	84.82688471
516	84.76555487
517	84.68590268
518	84.56452388
519	84.4410766
520	84.26533209
521	84.12137206
522	84.02076955
523	83.84005743
524	83.73715137
525	83.67629951
526	83.58158628
527	83.49659763
528	83.45028762
529	83.33518894
530	83.27367217
531	83.15723374
532	83.01473318
533	82.92788252
534	82.85670968
535	82.75463431
536	82.73124977
537	82.63142619
538	82.51782458
539	82.49300863
540	82.34222992
541	82.2974151
542	82.24806521
543	82.15947008
544	82.08954946
545	81.97246322
546	81.87712951
547	81.7926015
548	81.62297159
549	81.53124507
550	81.47077677
551	81.3826532
552	81.26796004
553	81.18622759
554	81.12401316
555	81.03891382
556	80.92492538
557	80.78876208
558	80.63241315
559	80.52362533
560	80.39775622
561	80.3280151
562	80.1356971
563	80.08188155
564	80.00997351
565	79.92527694
566	79.81881635
567	79.75940932
568	79.72869894
569	79.63301474
570	79.58610009
571	79.52915488
572	79.47079074
573	79.35309896
574	79.27286688
575	79.20548443
576	79.09463777
577	79.02069175
578	78.96143909
579	78.89003241
580	78.81591244
581	78.75281122
582	78.67336422
583	78.57358798
584	78.46239062
585	78.38830163
586	78.31310039
587	78.19138438
588	78.1138985
589	78.0472104
590	78.02973678
591	77.95697961
592	77.87575103
593	77.81871268
594	77.76942809
595	77.66163485
596	77.57793447
597	77.50284348
598	77.37947692
599	77.32543511
600	77.302521
601	77.27606709
602	77.21234926
603	77.05996065
604	77.00873385
605	76.93753044
606	76.82333203
607	76.79455299
608	76.74339808
609	76.64677369
610	76.55362906
611	76.51971351
612	76.47050258
613	76.31812857
614	76.17203507
615	76.06962793
616	76.021703
617	75.96098823
618	75.94192636
619	75.86696516
620	75.78535622
621	75.67196217
622	75.6322645
623	75.48780581
624	75.35231502
625	75.23005481
626	75.15915424
627	75.08638138
628	75.01794259
629	74.99614886
630	74.90025227
631	74.80900106
632	74.72759814
633	74.68880866
634	74.6135124
635	74.52958402
636	74.46491158
637	74.3375065
638	74.24612481
639	74.18553413
640	74.1374619
641	74.07282272
642	74.00004084
643	73.88303987
644	73.80081207
645	73.72773156
646	73.64464652
647	73.5608308
648	73.52188908
649	73.41283448
650	73.32514909
651	73.1866918
652	73.15687145
653	73.07796195
654	73.02403479
655	72.94890585
656	72.87334748
657	72.80441848
658	72.73941739
659	72.63410671
660	72.57019528
661	72.50800087
662	72.41219352
663	72.30202166
664	72.21362142
665	72.11246119
666	72.06284484
667	71.98121686
668	71.93693322
669	71.82858935
670	71.8189122
671	71.79040154
672	71.75234449
673	71.62752986
674	71.55536393
675	71.47578371
676	71.37842006
677	71.33030172
678	71.25805907
679	71.20600376
680	71.18258621
681	71.10268333
682	71.02524176
683	70.94393273
684	70.87434735
685	70.81379715
686	70.67737023
687	70.63052088
688	70.52487941
689	70.47597103
690	70.46074389
691	70.40177171
692	70.27094787
693	70.19597545
694	70.12586519
695	70.10233649
696	69.99814627
697	69.87421726
698	69.83987251
699	69.77364565
700	69.69650319
701	69.59009415
702	69.54081429
703	69.47820756
704	69.40201137
705	69.33001861
706	69.26656133
707	69.25012023
708	69.16845758
709	69.13229495
710	69.06522737
711	68.9955415
712	68.92284569
713	68.86514432
714	68.79387649
715	68.75091935
716	68.69633404
717	68.65891218
718	68.61546068
719	68.57743456
720	68.51361779
721	68.43684301
722	68.35048829
723	68.30196316
724	68.21734489
725	68.17466139
726	68.06554247
727	68.01178697
728	67.97521245
729	67.94431054
730	67.89358113
731	67.85580751
732	67.73934777
733	67.65456928
734	67.61062037
735	67.52307862
736	67.48553803
737	67.37805419
738	67.28432024
739	67.25549604
740	67.14491022
741	67.11341199
742	67.04669549
743	66.99640699
744	66.8951384
745	66.81394739
746	66.72490578
747	66.68875899
748	66.64085228
749	66.55591656
750	66.5181128
751	66.44421029
752	66.36875519
753	66.24649849
754	66.19561007
755	66.12527751
756	66.09764698
757	66.07912328
758	66.03258211
759	65.95808825
760	65.88409778
761	65.83968931
762	65.78577732
763	65.7220518
764	65.67300699
765	65.63179804
766	65.59715429
767	65.55300346
768	65.44501756
769	65.39631433
770	65.34579447
771	65.2972914
772	65.21944262
773	65.10916596
774	64.99936515
775	64.94277959
776	64.86930958
777	64.80299939
778	64.73846667
779	64.6403811
780	64.55648185
781	64.51357962
782	64.4415893
783	64.39523846
784	64.27756956
785	64.16452951
786	64.04984145
787	63.98085993
788	63.93661915
789	63.91111823
790	63.86399091
791	63.84308816
792	63.75750915
793	63.73628113
794	63.64842034
795	63.58793823
796	63.56502638
797	63.52704324
798	63.49559443
799	63.39444287
800	63.30788477
801	63.23450293
802	63.14991706
803	63.10998103
804	63.02150217
805	62.94699914
806	62.93192642
807	62.85580783
808	62.79010252
809	62.69550712
810	62.66673376
811	62.64989495
812	62.5861381
813	62.51903522
814	62.46386105
815	62.44324294
816	62.38931569
817	62.37268053
818	62.32073229
819	62.21058159
820	62.13669652
821	62.07083808
822	61.98893167
823	61.88149612
824	61.83871175
825	61.78403394
826	61.71756277
827	61.65456812
828	61.60840611
829	61.52586984
830	61.46607705
831	61.41691064
832	61.38261369
833	61.3311839
834	61.26910026
835	61.22023525
836	61.13888852
837	61.07249062
838	61.04637107
839	60.98059166
840	60.88930409
841	60.85914779
842	60.80098451
843	60.74292583
844	60.67922589
845	60.63264344
846	60.56934595
847	60.55952265
848	60.50744519
849	60.45723382
850	60.36419284
851	60.30898614
852	60.27427939
853	60.21898664
854	60.15250596
855	60.13678483
856	60.06046678
857	60.00810841
