iter	Passed	Remaining
408	4901	114941
409	4913	114918
410	4924	114903
411	4937	114909
412	4949	114893
413	4960	114859
414	4972	114842
415	4983	114810
416	4994	114780
417	5006	114756
418	5017	114737
419	5028	114705
420	5039	114674
421	5052	114686
422	5065	114686
423	5076	114659
424	5088	114630
425	5099	114611
426	5110	114580
427	5123	114593
428	5135	114579
429	5147	114550
430	5158	114523
431	5169	114489
432	5180	114462
433	5191	114439
434	5203	114411
435	5214	114377
436	5225	114349
437	5240	114397
438	5251	114373
439	5264	114380
440	5275	114353
441	5286	114322
442	5298	114303
443	5311	114309
444	5322	114282
445	5333	114260
446	5345	114233
447	5356	114205
448	5367	114186
449	5379	114154
450	5390	114122
451	5401	114092
452	5412	114076
453	5423	114040
454	5435	114016
455	5447	114023
456	5459	114000
457	5470	113976
458	5482	113964
459	5496	113985
460	5508	113972
461	5520	113964
462	5531	113936
463	5542	113909
464	5553	113879
465	5565	113856
466	5576	113838
467	5587	113812
468	5599	113787
469	5610	113756
470	5621	113732
471	5632	113702
472	5650	113805
473	5662	113791
474	5673	113772
475	5685	113748
476	5696	113727
477	5707	113702
478	5719	113683
479	5730	113655
480	5741	113626
481	5752	113602
482	5764	113583
483	5775	113559
484	5790	113597
485	5802	113599
486	5814	113588
487	5826	113562
488	5837	113533
489	5851	113573
490	5863	113561
491	5874	113532
492	5886	113510
493	5897	113493
494	5916	113607
495	5930	113632
496	5943	113636
497	5955	113625
498	5967	113627
499	5979	113607
500	5990	113588
501	6004	113616
502	6019	113653
503	6032	113654
504	6044	113657
505	6056	113629
506	6067	113605
507	6079	113588
508	6092	113601
509	6104	113590
510	6116	113571
511	6126	113540
512	6137	113508
513	6149	113489
514	6163	113515
515	6175	113510
516	6188	113507
517	6202	113528
518	6214	113526
519	6226	113513
520	6238	113499
521	6249	113481
522	6261	113457
523	6272	113430
524	6283	113403
525	6295	113388
526	6308	113389
527	6320	113383
528	6331	113360
529	6344	113365
530	6355	113340
531	6367	113313
532	6378	113287
533	6390	113282
534	6401	113259
535	6413	113235
536	6426	113250
537	6440	113264
538	6452	113258
539	6463	113230
540	6474	113207
541	6485	113180
542	6497	113160
543	6508	113131
544	6519	113108
545	6531	113092
546	6542	113067
547	6553	113044
548	6565	113028
549	6577	113007
550	6588	112980
551	6599	112955
552	6611	112936
553	6624	112948
554	6636	112945
555	6648	112928
556	6660	112909
557	6671	112885
558	6682	112863
559	6694	112843
560	6704	112812
561	6715	112784
562	6727	112765
563	6738	112739
564	6754	112800
565	6770	112844
566	6783	112850
567	6794	112833
568	6805	112806
569	6817	112780
570	6828	112756
571	6839	112739
572	6851	112721
573	6863	112704
574	6874	112681
575	6885	112658
576	6897	112637
577	6908	112615
578	6919	112591
579	6931	112571
580	6942	112551
581	6954	112533
582	6965	112505
583	6976	112483
584	6988	112465
585	6999	112441
586	7010	112412
587	7021	112390
588	7032	112364
589	7043	112334
590	7047	112202
591	7059	112184
592	7070	112165
593	7082	112145
594	7093	112119
595	7106	112132
596	7119	112128
597	7130	112115
598	7142	112096
599	7153	112074
600	7164	112049
601	7176	112031
602	7187	112010
603	7198	111984
604	7210	111977
605	7224	111988
606	7236	111981
607	7247	111954
608	7258	111930
609	7269	111907
610	7281	111884
611	7292	111861
612	7303	111833
613	7314	111811
614	7325	111791
615	7336	111767
616	7347	111742
617	7359	111724
618	7371	111717
619	7383	111702
620	7394	111681
621	7405	111658
622	7417	111640
623	7428	111617
624	7440	111610
625	7452	111593
626	7463	111577
627	7475	111553
628	7486	111531
629	7497	111516
630	7509	111497
631	7520	111471
632	7531	111449
633	7542	111425
634	7553	111406
635	7565	111381
636	7576	111363
637	7587	111341
638	7601	111352
639	7613	111343
640	7624	111324
641	7635	111299
642	7646	111272
643	7657	111247
644	7669	111234
645	7680	111214
646	7692	111195
647	7703	111175
648	7715	111162
649	7726	111136
650	7739	111142
651	7751	111130
652	7762	111115
653	7773	111094
654	7785	111073
655	7796	111053
656	7807	111030
657	7818	111006
658	7830	110990
659	7845	111028
660	7857	111015
661	7869	111001
662	7880	110977
663	7891	110953
664	7902	110932
665	7913	110907
666	7924	110885
667	7936	110868
668	7948	110858
669	7962	110881
670	7975	110880
671	7987	110868
672	7998	110854
673	8012	110871
674	8025	110871
675	8039	110887
676	8051	110873
677	8062	110857
678	8075	110858
679	8086	110837
680	8098	110819
681	8109	110803
682	8121	110793
683	8133	110771
684	8144	110753
685	8156	110740
686	8168	110727
687	8179	110704
688	8190	110689
689	8202	110668
690	8214	110659
691	8224	110633
692	8239	110658
693	8251	110642
694	8263	110638
695	8276	110634
696	8289	110639
697	8301	110636
698	8313	110624
699	8325	110608
700	8336	110586
701	8348	110570
702	8359	110553
703	8374	110582
704	8387	110586
705	8399	110567
706	8410	110548
707	8421	110527
708	8435	110545
709	8447	110528
710	8459	110524
711	8473	110542
712	8486	110539
713	8498	110527
714	8510	110514
715	8525	110550
716	8538	110544
717	8550	110537
718	8561	110514
719	8572	110486
720	8583	110464
721	8594	110448
722	8608	110454
723	8622	110471
724	8635	110479
725	8647	110465
726	8658	110445
727	8670	110425
728	8681	110400
729	8692	110379
730	8703	110355
731	8714	110339
732	8725	110317
733	8737	110296
734	8748	110276
735	8759	110255
736	8770	110238
737	8782	110226
738	8794	110204
739	8805	110188
740	8817	110176
741	8828	110152
742	8839	110129
743	8850	110106
744	8863	110107
745	8875	110093
746	8886	110075
747	8898	110061
748	8909	110040
749	8920	110025
750	8932	110005
751	8943	109985
752	8955	109975
753	8969	109994
754	8983	109999
755	8995	109989
756	9006	109973
757	9017	109951
758	9029	109931
759	9041	109929
760	9052	109907
761	9064	109886
762	9075	109867
763	9087	109853
764	9098	109831
765	9109	109815
766	9120	109796
767	9132	109785
768	9144	109769
769	9156	109756
770	9167	109739
771	9179	109723
772	9190	109707
773	9203	109704
774	9215	109690
775	9226	109675
776	9238	109656
777	9248	109631
778	9260	109612
779	9271	109595
780	9282	109571
781	9293	109553
782	9305	109534
783	9316	109520
784	9328	109506
785	9339	109488
786	9351	109468
787	9362	109451
788	9374	109437
789	9385	109422
790	9397	109402
791	9408	109384
792	9420	109377
793	9432	109365
794	9444	109349
795	9455	109331
796	9466	109315
797	9477	109293
798	9489	109273
799	9499	109249
800	9511	109230
801	9522	109216
802	9534	109198
803	9546	109186
804	9557	109166
805	9569	109158
806	9584	109184
807	9597	109186
808	9609	109175
809	9621	109158
810	9632	109140
811	9643	109123
812	9655	109108
813	9666	109088
814	9678	109073
815	9689	109055
816	9702	109050
817	9713	109038
818	9725	109024
819	9737	109007
820	9748	108991
821	9760	108975
822	9771	108957
823	9782	108937
824	9797	108954
825	9808	108934
826	9819	108915
827	9831	108903
828	9843	108895
829	9854	108879
830	9866	108868
831	9878	108850
832	9889	108829
833	9900	108813
834	9911	108794
835	9923	108775
836	9934	108755
837	9945	108736
838	9956	108718
839	9968	108701
840	9979	108681
841	9990	108666
842	10003	108657
843	10017	108673
844	10029	108665
845	10041	108649
846	10052	108631
847	10063	108613
848	10075	108600
849	10090	108619
850	10102	108613
851	10114	108595
852	10125	108580
853	10137	108564
854	10148	108546
855	10159	108523
856	10170	108506
857	10182	108490
